source_file,chunks,items,errors
不含海但有相关专业的院校_烟台大学（2024）_海洋学院2024版水产养殖学专业人才培养方案.pdf.txt,1,15,0
不含海但有相关专业的院校_烟台大学（2024）_海洋学院2024版海洋科学专业人才培养方案.pdf.txt,1,15,0
不含海但有相关专业的院校_烟台大学（2024）_海洋学院2024版能源与动力工程专业人才培养方案.pdf.txt,1,13,0
不含海但有相关专业的院校_烟台大学（2024）_海洋学院2024版能源与动力工程专业（卓越工程师）人才培养方案.pdf.txt,1,10,0
不含海但有相关专业的院校_烟台大学（2024）_海洋学院2024版能源与动力工程专业（现代产业学院）人才培养方案.pdf.txt,1,10,0
不含海但有相关专业的院校_烟台大学（2024）_海洋学院2024版航海技术专业（卓越班）人才培养方案.pdf.txt,1,10,0
不含海但有相关专业的院校_烟台大学（2024）_海洋学院2024版航海技术专业（普通班）人才培养方案.pdf.txt,1,14,0
不含海但有相关专业的院校_烟台大学（2024）_海洋学院2024版轮机工程专业（卓越班）人才培养方案.pdf.txt,1,19,0
不含海但有相关专业的院校_烟台大学（2024）_海洋学院2024版轮机工程专业（普通班）人才培养方案.pdf.txt,1,23,0
不含海但有相关专业的院校_福州大学（2024）_物流管理专业.docx.txt,1,9,0
不含海但有相关专业的院校_福州大学（2024）_生物工程专业.docx.txt,1,10,0
不含海但有相关专业的院校_福州大学（2024）_电子信息工程专业.docx.txt,1,11,0
不含海但有相关专业的院校_西北工业大学（2025）_【民族生】2025级海洋工程类本科生培养方案（支持区域经济发展）.doc.txt,1,14,0
不含海但有相关专业的院校_西北工业大学（2025）_【海洋工程类】西北工业大学本科人才培养方案.doc.txt,1,12,0
不含海但有相关专业的院校_重庆交通大学（2022）_航运与船舶工程学院_轮机工程专业人才培养方案（卓越工程师班）.pdf.txt,1,17,0
不含海但有相关专业的院校_集美大学（2024）_1-航海学院专业培养方案.pdf.txt,1,22,0
不含海但有相关专业的院校_集美大学（2024）_11-海洋信息工程学院专业培养方案.pdf.txt,1,12,0
不含海但有相关专业的院校_集美大学（2024）_13-海洋装备与机械工程学院专业培养方案.pdf.txt,1,23,0
不含海但有相关专业的院校_集美大学（2024）_17-港口与海岸工程学院专业培养方案.pdf.txt,1,11,0
不含海但有相关专业的院校_集美大学（2024）_2-轮机工程学院专业培养方案.pdf.txt,1,31,0
不含海但有相关专业的院校_集美大学（2024）_3-水产学院专业培养方案.pdf.txt,1,12,0
不含海但有相关专业的院校_集美大学（2024）_4-海洋食品与生物工程学院专业培养方案.pdf.txt,1,15,0
不含海但有相关专业的院校_青岛农业大学（2023）_水产养殖学专业.docx.txt,1,15,0
不含海但有相关专业的院校_青岛农业大学（2023）_海洋资源与环境专业.docx.txt,1,21,0
名称中含海的本科院校_公办院校_上海海事大学（2025）_交通运输学院.pdf.txt,1,11,0
名称中含海的本科院校_公办院校_上海海事大学（2025）_商船学院.pdf.txt,1,34,0
名称中含海的本科院校_公办院校_上海海事大学（2025）_海洋科学与工程学院.pdf.txt,1,30,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_10环科_环境工程-2024培养方案.pdf.txt,1,24,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_10环科_环境科学-2024培养方案.pdf.txt,1,12,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_12经济_物流管理-2024培养方案.pdf.txt,1,10,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_17数学_信息与计算科学-2024培养方案.pdf.txt,1,12,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_17数学_数学与应用数学-2024培养方案.pdf.txt,1,14,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_18材料_新能源材料与器件-2024培养方案.pdf.txt,1,17,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_18材料_材料科学与工程-2024培养方案.pdf.txt,1,11,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_18材料_高分子材料与工程-2024培养方案.pdf.txt,1,12,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_1海气_大气科学-2024培养方案.pdf.txt,1,8,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_1海气_海洋科学-2024培养方案.pdf.txt,1,10,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_1海气_海洋科学（中外合作）-2024培养方案.pdf.txt,1,9,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_20崇本_中国海洋大学2024版本科人才培养方案-海洋科学拔尖.pdf.txt,1,13,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_21海德_数学与应用数学（中外合作办学）-2024级培养方案-20250109.pdf.txt,1,8,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_21海德_生物技术（中外合作办学）-2024级培养方案.pdf.txt,1,10,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_21海德_食品科学与工程（中外合作办学）-2024级培养方案.pdf.txt,1,17,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_2信息_声学-2024培养方案.pdf.txt,1,16,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_2信息_数据科学与大数据技术-2024培养方案.pdf.txt,1,9,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_2信息_海洋技术-2024培养方案.pdf.txt,1,11,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_2信息_电子信息信息科学与技术-2024培养方案.pdf.txt,1,13,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_2信息_电子信息工程-2024培养方案.pdf.txt,1,12,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_2信息_计算机科学与技术-2024培养方案.pdf.txt,1,10,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_2信息_计算机科学与技术（中外合作办学）-2024培养方案.pdf.txt,1,18,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_2信息_软件工程-2024培养方案.pdf.txt,1,16,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_2信息_通信工程-2024培养方案.pdf.txt,1,15,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_5生命_生态学-2024培养方案.pdf.txt,1,14,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_5生命_生物技术-2024培养方案.pdf.txt,1,10,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_6水产_水产养殖学-2024培养方案.pdf.txt,1,16,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_6水产_海洋渔业科学与技术-2024培养方案.pdf.txt,1,13,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_6水产_海洋资源与环境-2024培养方案.pdf.txt,1,10,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_7食品_海洋资源开发技术-2024培养方案.pdf.txt,1,23,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_7食品_食品科学与工程-2024培养方案.pdf.txt,1,18,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_9工程_机械设计制造及其自动化-2024培养方案.pdf.txt,1,14,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_9工程_港口航道与海岸工程-2024培养方案.pdf.txt,1,12,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_9工程_自动化-2024培养方案.pdf.txt,1,20,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_9工程_船舶与海洋工程-2024培养方案.pdf.txt,1,30,0
名称中含海的本科院校_公办院校_中国海洋大学（2024）_9工程_轮机工程-2024培养方案.pdf.txt,1,16,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_交通运输工程学院_2024级交通管理本科专业培养计划.docx.txt,2,26,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_交通运输工程学院_2024级交通运输类专业培养计划.docx.txt,7,86,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_人工智能学院_2024人工智能专业本科培养计划.docx.txt,1,18,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_信息科学技术学院_2024级电子信息类专业培养计划.docx.txt,4,63,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_信息科学技术学院_2024级计算机类专业培养计划.docx.txt,6,62,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_环境科学与工程学院_2024级环境科学与工程类专业培养计划.docx.txt,3,51,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_理学院_2024级数学类专业培养计划.docx.txt,2,25,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_航海学院_2024级地理信息科学专业本科培养计划.docx.txt,1,13,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_航海学院_2024级安全工程专业本科培养计划.docx.txt,1,9,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_航海学院_2024级海事管理专业本科培养计划.docx.txt,1,12,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_航海学院_2024级航海技术专业本科培养计划.docx.txt,7,146,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_航运经济与管理学院_2024级供应链管理本科专业培养计划.docx.txt,1,13,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_航运经济与管理学院_2024级物流管理本科专业培养计划.docx.txt,2,28,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_船舶与海洋工程学院_2024级机械类专业培养计划.docx.txt,5,75,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_船舶电气工程学院_2024级物联网工程专业本科培养计划.docx.txt,1,20,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_船舶电气工程学院_2024级自动化类专业培养计划.docx.txt,4,84,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_船舶电气工程学院_2024级船舶电子电气工程专业本科培养计划.docx.txt,2,30,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_轮机工程学院_2024级轮机工程（海上）本科专业培养计划.docx.txt,10,187,0
名称中含海的本科院校_公办院校_大连海事大学（2024）_2024级培养计划_轮机工程学院_2024级轮机工程（陆上）本科专业培养计划.docx.txt,1,11,0
名称中含海的本科院校_公办院校_江苏海洋大学（2024）_土木与港海工程学院_2020版本科人才培养方案（港口航道与海岸工程）.pdf.txt,1,13,0
名称中含海的本科院校_公办院校_江苏海洋大学（2024）_海洋工程学院_海洋资源开发技术专业2024版本科人才培养方案.pdf.txt,1,16,0
名称中含海的本科院校_公办院校_江苏海洋大学（2024）_海洋工程学院_船舶与海洋工程专业2024版本科人才培养方案.pdf.txt,1,18,0
名称中含海的本科院校_公办院校_江苏海洋大学（2024）_海洋技术与测绘学院_应用气象学专业.pdf.txt,1,14,0
名称中含海的本科院校_公办院校_江苏海洋大学（2024）_海洋科学与水产学院_4+0农牧+水产养殖学专业2024版本科人才培养方案.doc.txt,3,25,0
名称中含海的本科院校_公办院校_江苏海洋大学（2024）_海洋科学与水产学院_水产养殖专业.docx.txt,1,12,0
名称中含海的本科院校_公办院校_江苏海洋大学（2024）_海洋科学与水产学院_海洋资源与环境专业.docx.txt,1,20,0
名称中含海的本科院校_公办院校_江苏海洋大学（2024）_海洋科学与水产学院_生物技术专业.docx.txt,1,13,0
涉海职业院校培养方案_九江科技职业大学（航海技术专业培养方案）.pdf.txt,1,12,0
涉海职业院校培养方案_云南交通运输职业学院（航海技术专业培养方案）.pdf.txt,1,9,0
涉海职业院校培养方案_安徽交通职业技术学院（航海技术专业培养方案）.pdf.txt,1,15,0
涉海职业院校培养方案_浙江交通职业技术学院（航海技术专业人才培养方案）.pdf.txt,1,14,0
涉海职业院校培养方案_浙江国际海运职业技术学院（港口与航运管理专业培养方案）.pdf.txt,1,13,0
涉海职业院校培养方案_渤海船舶职业学院（学院章程）.pdf.txt,1,10,0
