source_index,招聘岗位,occupation_name,items,errors,batches
142,项目经理（智慧港口）,道路和水上运输工程技术人员,3,0,1
145,技术支持工程师（技术文员）,道路和水上运输工程技术人员,1,0,1
146,售前技术拓展工程师,道路和水上运输工程技术人员,1,0,1
147,三维渲染开发工程师,海洋工程技术人员,1,0,1
148,配管专业工程师,海洋工程技术人员,2,0,1
149,船舶业务助理,船舶制造人员,3,0,1
150,电气工程师,海洋工程技术人员,3,0,1
153,单证管理,道路和水上运输工程技术人员,1,0,1
152,船长,船舶指挥和引航人员,4,0,1
154,船舶电仪工程师,海洋工程技术人员,3,0,1
160,港口调度室主任（印尼） (MJ003389),道路和水上运输工程技术人员,3,0,1
163,海运操作专员（扬州）,海洋服务人员,2,0,1
165,海务主管（远洋船长）,船舶指挥和引航人员,4,0,1
166,机械工程师/资深机械工程师（研究院）,海洋工程技术人员,2,0,1
168,助理焊接工程师,船舶制造人员,1,0,1
170,船体放样工程师（中山厂）,船舶制造人员,1,0,1
173,船体设计员,船舶制造人员,1,0,1
171,搭载主管,船舶制造人员,1,0,1
176,湖南电气公司 - 设计师岗,海洋工程技术人员,1,0,1
172,机修钳工,船舶制造人员,1,0,1
179,租船经理,船舶指挥和引航人员,1,0,1
178,结构工艺工程师,水产技术人员,1,0,1
183,供配电设计工程师,海洋工程技术人员,1,0,1
185,声呐研发经理,海洋工程技术人员,1,0,1
189,售前技术支持,海洋工程技术人员,1,0,1
187,船舶结构工程师,海洋工程技术人员,2,0,1
194,轮机验船师1人/电气验船师1人,道路和水上运输工程技术人员,2,0,1
193,船体工程师2人/轮机工程师2人/电气工程师2人/内装工程师2人,海洋工程技术人员,1,0,1
196,算法信号处理工程师,海洋工程技术人员,1,0,1
197,生态研究员,海洋工程技术人员,1,0,1
201,结构工程师-2023应届大学生,海洋工程技术人员,1,0,1
195,船舶系统集成电气工程师,海洋工程技术人员,1,0,1
200,船舶经理,船舶指挥和引航人员,1,0,1
199,研发工程师,海洋工程技术人员,1,0,1
203,系泊与水动力计算工程师(J10413),海洋工程技术人员,1,0,1
204,吊装设计工程师,海洋工程技术人员,1,0,1
207,海上风电项目经理,海洋工程技术人员,1,0,1
209,水运设计员,道路和水上运输工程技术人员,1,0,1
208,工程项目经理,道路和水上运输工程技术人员,2,0,1
206,水利/水电工程师,海洋工程技术人员,1,0,1
210,营销代表,渔业生产人员,1,0,1
214,管系设计工程师,海洋工程技术人员,1,0,1
216,机械维修工,船舶制造人员,1,0,1
215,水声工程师,海洋工程技术人员,1,0,1
224,电气工程师,道路和水上运输工程技术人员,2,0,1
227,电机控制软件工程师,海洋工程技术人员,2,0,1
229,采样实习生,海洋服务人员,1,0,1
230,船舶项目经理,船舶制造人员,1,0,1
233,船舶内装工程师,船舶制造人员,1,0,1
232,船艇研发,船舶制造人员,2,0,1
231,船厂技工（急招船电工）,船舶制造人员,4,0,1
234,高级机修主管,船舶制造人员,1,0,1
237,船舶电焊工,船舶制造人员,1,0,1
238,航运经营部部长,船舶指挥和引航人员,2,0,1
239,船舶买卖经纪人,道路和水上运输工程技术人员,2,0,1
245,船务部主管,道路和水上运输工程技术人员,2,0,1
249,售后电气调试（船舶行业）,船舶制造人员,1,0,1
246,电气自动化工程师,海洋工程技术人员,2,0,1
248,项目工程师/产品经理（船舶行业经验）,海洋工程技术人员,2,0,1
253,船舶自动化设计师,海洋工程技术人员,1,0,1
258,操作培训生-现场/控制,道路和水上运输工程技术人员,1,0,1
252,工艺工程师,海洋工程技术人员,1,0,1
260,生产主管（白塔/外场）-通辽,船舶制造人员,1,0,1
262,客户经理（甘肃）(J11403),测绘和地理信息工程技术人员,1,0,1
263,电源产品结构设计工程师,海洋工程技术人员,1,0,1
266,物流销售经理,道路和水上运输工程技术人员,3,0,1
267,船长,船舶指挥和引航人员,4,0,1
264,海洋测绘工程师,测绘和地理信息工程技术人员,3,0,1
269,租船业务开拓,水产技术人员,3,0,1
270,采购主管,船舶制造人员,3,0,1
274,工程管理,道路和水上运输工程技术人员,0,0,1
275,海上一体化分析工程师(J10410),海洋工程技术人员,3,0,1
272,机务主管,道路和水上运输工程技术人员,4,0,1
273,仪表专业工程师,海洋工程技术人员,3,0,1
276,海上风电土木技术员,海洋工程技术人员,2,0,1
277,海上风电项目管理,海洋工程技术人员,1,0,1
279,施工员,船舶制造人员,1,0,1
278,水利设计师,海洋工程技术人员,1,0,1
280,市场专员,道路和水上运输工程技术人员,1,0,1
281,船务主管,道路和水上运输工程技术人员,1,0,1
287,电气生产设计工程师,海洋工程技术人员,1,0,1
290,售前技术支持工程师,道路和水上运输工程技术人员,1,0,1
291,船舶内装设计岗,船舶制造人员,1,0,1
284,营销经理/总监,测绘和地理信息工程技术人员,1,0,1
295,焊接工程师,船舶制造人员,1,0,1
297,工艺主管/工程师,海洋工程技术人员,3,0,1
300,设计工程师,船舶制造人员,2,0,1
302,项目经理,海洋工程技术人员,2,0,1
301,采样员（环境检测）,海洋服务人员,2,0,1
299,土建主管工程师,道路和水上运输工程技术人员,2,0,1
304,水声工程应用岗,海洋工程技术人员,2,0,1
306,打磨工,船舶制造人员,1,0,1
303,研发高级主管,海洋工程技术人员,3,0,1
305,船厂质检员,船舶制造人员,2,0,1
307,涂装主管（中山厂）,船舶制造人员,2,0,1
309,质量部经理（国际事业部）,船舶制造人员,3,0,1
313,操作调度,水产技术人员,2,0,1
315,船体主管,船舶制造人员,3,0,1
314,机修钳工,船舶制造人员,1,0,1
310,海上升压站结构工程师,海洋工程技术人员,3,0,1
316,电气主管,船舶制造人员,3,0,1
317,高级机修主管,船舶制造人员,3,0,1
318,接头设计工程师,海洋工程技术人员,3,0,1
320,电气工程师,道路和水上运输工程技术人员,3,0,1
321,海上运输管理岗(J11420),道路和水上运输工程技术人员,3,0,1
322,工程测量工程师,测绘和地理信息工程技术人员,1,0,1
324,进口操作,海洋服务人员,1,0,1
329,太仓中集招聘油漆工,船舶制造人员,0,0,1
325,航线管理,道路和水上运输工程技术人员,1,0,1
327,服务工程师（船舶出差调试）PLC,船舶制造人员,1,0,1
331,自动化网络工程师,道路和水上运输工程技术人员,1,0,1
330,循环水工程师,海洋工程技术人员,1,0,1
338,服务专责,船舶制造人员,0,0,1
335,高级机械工程师（拖揽机）,海洋工程技术人员,1,0,1
346,检验员,船舶制造人员,1,0,1
344,风电工程师,海洋工程技术人员,3,0,1
347,项目总监/副总监,道路和水上运输工程技术人员,1,0,1
349,水运专业监理工程师,道路和水上运输工程技术人员,1,0,1
345,租船经纪人,船舶指挥和引航人员,2,0,1
348,AI算法工程师,海洋工程技术人员,1,0,1
351,结构生产设计工程师（海工）,船舶制造人员,1,0,1
355,售后技术支持工程师（上市公司）,海洋工程技术人员,1,0,1
350,运行岗（计量员）,道路和水上运输工程技术人员,1,0,1
354,船舶毕业生,船舶制造人员,1,0,1
353,机械维修工,船舶制造人员,1,0,1
359,焊接工艺主任工程师,船舶制造人员,1,0,1
364,定额核算员,船舶制造人员,1,0,1
361,船舶电机员,船舶指挥和引航人员,1,0,1
365,学徒,船舶制造人员,0,0,1
366,学徒,船舶制造人员,0,0,1
368,船舶机装高级主管设计师,船舶制造人员,1,0,1
371,水工设计师（应届）,道路和水上运输工程技术人员,1,0,1
370,涂装检验主管,船舶制造人员,1,0,1
372,结构研发工程师,海洋工程技术人员,1,0,1
374,网络安全工程师,海洋工程技术人员,1,0,1
379,绳网技术经理,海洋工程技术人员,2,0,1
377,租船经纪人,道路和水上运输工程技术人员,3,0,1
380,控制策略工程师(J10924),海洋工程技术人员,2,0,1
383,海洋工程钢结构设计工程师,海洋工程技术人员,1,0,1
385,土建工程师（三亚）,海洋工程技术人员,1,0,1
388,工程师/高级工程师（电气）,海洋工程技术人员,1,0,1
392,操作培训生-计划,道路和水上运输工程技术人员,1,0,1
397,客户经理（辽宁）(J11405),测绘和地理信息工程技术人员,1,0,1
389,水下信息设备结构技术负责人,海洋工程技术人员,1,0,1
404,软件二次开发,海洋工程技术人员,1,0,1
405,助理工程师（应届毕业生优先）,道路和水上运输工程技术人员,0,0,1
408,生物驯演经理,渔业生产人员,2,0,1
409,自航耙吸式挖泥船二副,船舶指挥和引航人员,3,0,1
410,港口装卸工艺设计工程师,海洋工程技术人员,1,0,1
411,工程主管,船舶制造人员,1,0,1
414,销售经理/总监——福建,海洋工程技术人员,1,0,1
419,机械维修工,船舶制造人员,1,0,1
412,管道主管工程师,海洋工程技术人员,2,0,1
418,电气详细设计主管工程师,海洋工程技术人员,1,0,1
417,海工设计技术经理,海洋工程技术人员,1,0,1
420,焊接机器人工艺专家,海洋工程技术人员,3,0,1
427,船舶结构详细设计（镇江）,海洋工程技术人员,3,0,1
426,精控主管,船舶制造人员,3,0,1
431,采购经理（国际事业部）,船舶制造人员,2,0,1
430,涂装主管,船舶制造人员,1,0,1
432,船体工程师-螺旋桨设计,海洋工程技术人员,3,0,1
434,船厂生产主管,船舶制造人员,2,0,1
433,电气主管,船舶制造人员,2,0,1
436,船体检验工程师,船舶制造人员,2,0,1
437,船体检验工程师,船舶制造人员,2,0,1
435,船机电送详生设计师,海洋工程技术人员,4,0,1
440,水工设计师（应届）,海洋工程技术人员,1,0,1
442,水工设计师（应届）,海洋工程技术人员,1,0,1
441,水工设计师（应届）,海洋工程技术人员,1,0,1
443,软件工程师,海洋工程技术人员,2,0,1
445,项目经理,船舶制造人员,3,0,1
449,安全专责（阳江）,海洋工程技术人员,1,0,1
448,海务主管,船舶指挥和引航人员,3,0,1
452,码头建设工程师,海洋工程技术人员,3,0,1
439,研发设计师（轮机）,测绘和地理信息工程技术人员,4,0,1
456,电磁工程师,测绘和地理信息工程技术人员,0,0,1
457,投资发展部副总经理,海洋工程技术人员,0,0,1
455,船舶驾驶员,船舶指挥和引航人员,4,0,1
462,软件开发（地理信息、海洋技术、水声工程）,海洋工程技术人员,1,0,1
459,电气工程师,道路和水上运输工程技术人员,2,0,1
464,监理员（水运项目现场）,海洋工程技术人员,1,0,1
463,AI工程师（福州）,测绘和地理信息工程技术人员,1,0,1
468,动力系统集成工程师,海洋工程技术人员,1,0,1
472,商品车专用框架主管,道路和水上运输工程技术人员,1,0,1
473,动力系统集成工程师,道路和水上运输工程技术人员,1,0,1
474,商务合同工程师,海洋工程技术人员,1,0,1
478,港口航道方向 技术员（上海分公司）,道路和水上运输工程技术人员,2,0,1
481,项目经理,海洋工程技术人员,1,0,1
483,港航工程师,海洋工程技术人员,1,0,1
482,项目高级主管,道路和水上运输工程技术人员,1,0,1
480,生物保育研究所长,渔业生产人员,3,0,1
484,航运业务管培生,道路和水上运输工程技术人员,3,0,1
485,船舶管系工程师,海洋工程技术人员,3,0,1
487,管道设计工程师,海洋工程技术人员,3,0,1
486,管道主管工程师,海洋工程技术人员,3,0,1
491,营销经理/总监-U8548X,测绘和地理信息工程技术人员,1,0,1
495,专业维护岗（机修员）,船舶制造人员,1,0,1
496,海工建造主管,海洋工程技术人员,1,0,1
499,高级机务主管,道路和水上运输工程技术人员,1,0,1
507,电气工程师（配电）,海洋工程技术人员,1,0,1
503,销售经理/客户经理,海洋工程技术人员,1,0,1
502,质量主管,海洋工程技术人员,1,0,1
509,安全员（中山厂）,船舶制造人员,1,0,1
508,质检员（武汉市汉南区）,船舶制造人员,1,0,1
511,销售工程师,海洋工程技术人员,1,0,1
513,电气主管,船舶制造人员,2,0,1
510,机加工,船舶制造人员,1,0,1
512,电气主管,船舶制造人员,2,0,1
515,工法主管设计师,船舶制造人员,1,0,1
518,水工设计师（应届）,海洋工程技术人员,0,0,1
516,高级电修主管,船舶制造人员,2,0,1
517,机装主管设计师,船舶制造人员,2,0,1
519,工艺工程师,海洋工程技术人员,2,0,1
520,解决方案架构专家,海洋工程技术人员,1,0,1
523,船舶调度,道路和水上运输工程技术人员,1,0,1
522,分析检测员,海洋服务人员,2,0,1
525,生产计划岗（风电）,海洋工程技术人员,1,0,1
528,2024校招 电气设计,海洋工程技术人员,0,0,1
530,社会招聘-勘测负责人,海洋工程技术人员,1,0,1
531,社会招聘-海上物探负责人,海洋工程技术人员,1,0,1
529,海洋工程装备研究中心研究员,海洋工程技术人员,1,0,1
532,项目经理,道路和水上运输工程技术人员,1,0,1
534,售后电气调试（船舶行业）,海洋工程技术人员,1,0,1
538,销售经理,海洋工程技术人员,1,0,1
537,海运操作客服（国企+双休）,道路和水上运输工程技术人员,1,0,1
541,增值产品经理,海洋工程技术人员,3,0,1
545,技术支持专员（海洋方向）,海洋服务人员,0,0,1
543,生产经理,船舶制造人员,3,0,1
546,结构工程师（偏塑胶设计）,船舶制造人员,2,0,1
547,解决方案经理,海洋工程技术人员,2,0,1
550,市场开发,海洋工程技术人员,3,0,1
555,综合能源系统研发工程师,海洋工程技术人员,2,0,1
558,水利设计工程师、港口航道与海岸工程设计师,海洋工程技术人员,1,0,1
554,Java开发工程师（烟台港）,海洋工程技术人员,1,0,1
556,高级海工物流及船舶技术工程师,海洋工程技术人员,4,0,1
561,系统总体工程师（油气储运）,海洋工程技术人员,3,0,1
565,外场分段作业长,船舶制造人员,1,0,1
566,舾装详细设计工程师,海洋工程技术人员,1,0,1
563,租船高级经理,道路和水上运输工程技术人员,2,0,1
567,安全体系主管,海洋工程技术人员,1,0,1
568,海运出口操作专员（东莞）,道路和水上运输工程技术人员,1,0,1
574,现场应用工程师 FAE,测绘和地理信息工程技术人员,1,0,1
577,船舶电气详细设计（镇江）,船舶制造人员,1,0,1
578,结构工程师,海洋工程技术人员,1,0,1
582,项目经理（中山厂）,道路和水上运输工程技术人员,1,0,1
583,跟单员,船舶制造人员,2,0,1
584,装配工（中山厂）,船舶制造人员,1,0,1
585,操作运营部部长,道路和水上运输工程技术人员,1,0,1
587,水工设计师（应届）,道路和水上运输工程技术人员,1,0,1
589,光网络解决方案经理,海洋工程技术人员,1,0,1
591,工程项目管理及施工技术人员,海洋工程技术人员,2,0,1
592,港航工程师,道路和水上运输工程技术人员,1,0,1
593,结构（金属）工程师,道路和水上运输工程技术人员,1,0,1
594,交通规划咨询师,道路和水上运输工程技术人员,1,0,1
595,售后服务工程师（船舶现场调试）,道路和水上运输工程技术人员,1,0,1
597,电气设计工程师（绘图）,海洋工程技术人员,1,0,1
598,海务主管,水产技术人员,2,0,1
603,NDT主管,船舶制造人员,1,0,1
601,工程管理岗,道路和水上运输工程技术人员,2,0,1
605,趸船水手,海洋服务人员,1,0,1
612,技术助理（东营）,渔业生产人员,1,0,1
609,船舶性能研究,海洋工程技术人员,2,0,1
610,海务管理员,船舶指挥和引航人员,1,0,1
617,项目经理（履职）,道路和水上运输工程技术人员,1,0,1
619,水工设计实习生（2023）(J10788),海洋工程技术人员,1,0,1
618,海上风电施工设计工程师,海洋工程技术人员,4,0,1
621,工程技术员,海洋工程技术人员,1,0,1
622,施工队长,海洋工程技术人员,1,0,1
624,结构计算工程师,海洋工程技术人员,1,0,1
623,项目工程师,海洋工程技术人员,2,0,1
625,设计员/工艺员,道路和水上运输工程技术人员,2,0,1
628,工程项目物流项目经理,道路和水上运输工程技术人员,3,0,1
626,轮机工程师,道路和水上运输工程技术人员,2,0,1
634,项目建造师（一级建造师）,道路和水上运输工程技术人员,1,0,1
636,结构生产设计工程师（海工）,船舶制造人员,2,0,1
637,电气质检专员,道路和水上运输工程技术人员,1,0,1
631,大客户销售经理,测绘和地理信息工程技术人员,1,0,1
640,水工工程师,海洋工程技术人员,1,0,1
645,海工,道路和水上运输工程技术人员,1,0,1
647,质量主管,船舶制造人员,1,0,1
649,钳工（中山厂）,船舶制造人员,1,0,1
651,船舶售后,船舶制造人员,1,0,1
652,船艇研发,海洋工程技术人员,1,0,1
656,装配工,船舶制造人员,1,0,1
653,船舶内装工程师,船舶制造人员,1,0,1
655,船舶设计实习生（轮机、电气）,道路和水上运输工程技术人员,1,0,1
654,项目助理,船舶制造人员,1,0,1
658,船舶设计实习生（轮机、电气）,道路和水上运输工程技术人员,1,0,1
659,装配工,船舶制造人员,1,0,1
662,海运操作,海洋服务人员,1,0,1
665,船舶机装高级主管设计师,船舶制造人员,1,0,1
664,舾装主管设计师,船舶制造人员,1,0,1
666,接头设计主任工程师,海洋工程技术人员,1,0,1
671,船舶业务项目经理,船舶指挥和引航人员,1,0,1
674,道堆专业设计岗,道路和水上运输工程技术人员,1,0,1
673,安全专责（华南）,海洋工程技术人员,1,0,1
675,船舶设计师（结构/舾装专业）,海洋工程技术人员,1,0,1
676,助理土建工程师（张家口）,道路和水上运输工程技术人员,1,0,1
680,水工专工（浙江浙能六横液化天然气(LNG)有限公司）,海洋工程技术人员,1,0,1
681,生产计划员,道路和水上运输工程技术人员,1,0,1
689,船舶机电工程助理,船舶制造人员,1,0,1
685,电气工程师,海洋工程技术人员,1,0,1
691,信号处理工程师,海洋工程技术人员,1,0,1
695,侨益股份招聘物流经理,道路和水上运输工程技术人员,1,0,1
697,船务操作,道路和水上运输工程技术人员,1,0,1
690,国内产品工程师-船舶方向 (MJ014914),海洋工程技术人员,1,0,1
701,高级Java开发（日照国企）,海洋工程技术人员,0,0,1
703,前端开发（双休）,测绘和地理信息工程技术人员,1,0,1
704,专业技术工程师,海洋工程技术人员,1,0,1
708,项目经理,道路和水上运输工程技术人员,1,0,1
707,中国铁建港航局集团投资事业部建设管理部 部长/副部长,道路和水上运输工程技术人员,1,0,1
710,海务专员,船舶指挥和引航人员,1,0,1
712,船员部主管,海洋服务人员,1,0,1
711,安全员,船舶制造人员,1,0,1
713,物流经理（船务）,道路和水上运输工程技术人员,1,0,1
714,租船操作专员,道路和水上运输工程技术人员,2,0,1
718,售前工程师,海洋工程技术人员,2,0,1
720,船舶结构高级工程师,海洋工程技术人员,1,0,1
722,船舶推进器机械设计工程师,海洋工程技术人员,1,0,1
724,商务主管,海洋工程技术人员,1,0,1
727,船舶工程师,船舶制造人员,1,0,1
726,船舶总舾详细设计（镇江）,海洋工程技术人员,1,0,1
728,修船经营部经理,船舶制造人员,1,0,1
729,项目经理,船舶制造人员,1,0,1
730,项目经理,道路和水上运输工程技术人员,1,0,1
732,项目经理（技术）,海洋工程技术人员,2,0,1
734,质检师（江阴）,道路和水上运输工程技术人员,1,0,1
735,增压器钳工,船舶制造人员,1,0,1
731,海风项目助理（工程管理）（浙江区域）,海洋工程技术人员,1,0,1
739,电气工程师,海洋工程技术人员,1,0,1
740,售后工程师,海洋服务人员,1,0,1
741,船舶外勤,海洋服务人员,1,0,1
745,管线工(疏浚公司）,船舶制造人员,1,0,1
746,物流规划师,道路和水上运输工程技术人员,1,0,1
747,工程水文工程师,道路和水上运输工程技术人员,1,0,1
749,项目经理,道路和水上运输工程技术人员,1,0,1
753,船舶高级工程师（结构详细设计） 上海海工院,海洋工程技术人员,2,0,1
755,散货码头工艺工程师,道路和水上运输工程技术人员,2,0,1
758,金属无损检测主管,船舶制造人员,2,0,1
754,木工,船舶制造人员,1,0,1
760,现场应用工程师（FAE）(A196752),海洋服务人员,1,0,1
761,水动力研究设计师/高级设计师,海洋工程技术人员,2,0,1
762,软件/算法工程师,海洋工程技术人员,1,0,1
765,系统应用工程师,海洋工程技术人员,1,0,1
763,水声工程师（实习）,海洋工程技术人员,1,0,1
766,船务部副经理,道路和水上运输工程技术人员,3,0,1
769,电控研发岗（自动化系统工程师）,海洋工程技术人员,3,0,1
770,电控研发岗（自动化系统工程师）,道路和水上运输工程技术人员,3,0,1
773,船舶方向助理设计师,船舶制造人员,2,0,1
771,自动化工程师,海洋工程技术人员,3,0,1
774,船舶电气工程师（船舶海洋方向）,海洋工程技术人员,3,0,1
781,动物管理部负责人,水产技术人员,3,0,1
782,工程管理部工程管理人员（阳江）,海洋工程技术人员,3,0,1
783,工程管理部工程管理人员,海洋工程技术人员,3,0,1
791,管系工程师,海洋工程技术人员,3,0,1
794,船舶电工,船舶制造人员,1,0,1
795,电气工程师（工控）,道路和水上运输工程技术人员,2,0,1
797,销售经理,船舶制造人员,1,0,1
798,电气质检员,船舶制造人员,1,0,1
799,电气主管,船舶制造人员,1,0,1
802,生产管培生,船舶制造人员,1,0,1
801,电气主管,船舶制造人员,1,0,1
803,精控员,船舶制造人员,1,0,1
805,电装高级主管设计师,海洋工程技术人员,2,0,1
809,工程主管,道路和水上运输工程技术人员,1,0,1
806,研发设计师（电气）,海洋工程技术人员,4,0,1
810,风电运输方案工程师(J11044),道路和水上运输工程技术人员,1,0,1
811,船舶机务管理工程师,道路和水上运输工程技术人员,4,0,1
814,航运管理管培生,道路和水上运输工程技术人员,1,0,1
815,焊接工艺工程师,海洋工程技术人员,1,0,1
818,系统管理高级工程师,道路和水上运输工程技术人员,1,0,1
822,环评报告工程师（海洋工程）,海洋工程技术人员,1,0,1
825,线型开发设计师/高级设计师,海洋工程技术人员,1,0,1
816,船舶自动化电气项目工程师,海洋工程技术人员,3,0,1
827,物流操作外勤（广东湛江）,海洋服务人员,1,0,1
830,算法工程师,道路和水上运输工程技术人员,3,0,1
836,船体精度测量,船舶制造人员,1,0,1
835,项目工程师（配管/机械）,海洋工程技术人员,4,0,1
833,项目工程师（配管/机械）,海洋工程技术人员,4,0,1
838,机械工程师,海洋工程技术人员,3,0,1
832,成本控制主管,海洋工程技术人员,4,0,1
834,成本控制主管,海洋工程技术人员,4,0,1
839,电气一次工程师,海洋工程技术人员,4,0,1
842,船舶机务管理,船舶指挥和引航人员,1,0,1
841,船舶机务管理,船舶指挥和引航人员,1,0,1
845,兽医,水产技术人员,3,0,1
846,驯养经理,渔业生产人员,4,0,1
849,技术经理,海洋工程技术人员,2,0,1
848,电气设计/调试工程师（工具公司）,船舶制造人员,2,0,1
851,Python数值处理工程师,海洋工程技术人员,2,0,1
843,算法,海洋工程技术人员,3,0,1
852,（星聚）星图维天信 CTO(J10412),海洋工程技术人员,3,0,1
853,应用支持工程师-郑州(J11806),海洋工程技术人员,2,0,1
863,水声系统工程师,海洋工程技术人员,1,0,1
862,生产部门主任,船舶制造人员,2,0,1
864,海运出口操作专员（徐州）,道路和水上运输工程技术人员,2,0,1
869,机电负责人,船舶制造人员,2,0,1
867,销售工程师（海洋环境检测业务）,海洋服务人员,1,0,1
870,轮机工程师（中山厂）,船舶制造人员,1,0,1
872,计划管理员,船舶制造人员,1,0,1
871,轮机质检员（国际事业部）,道路和水上运输工程技术人员,1,0,1
873,船体主管,船舶制造人员,1,0,1
877,电装高级主管设计师,船舶制造人员,2,0,1
876,计划专员,船舶制造人员,1,0,1
879,资源开发经理（海上风电）,海洋工程技术人员,1,0,1
875,漂浮式风电一体化仿真技术研发工程师,海洋工程技术人员,3,0,1
878,调度专员,道路和水上运输工程技术人员,1,0,1
883,助理土建工程师（雄安新区）,海洋工程技术人员,1,0,1
882,机务监督,船舶指挥和引航人员,3,0,1
886,海洋工程总监,海洋工程技术人员,0,0,1
884,助理土建工程师（清河）,海洋工程技术人员,1,0,1
888,码头管理科科长,道路和水上运输工程技术人员,3,0,1
894,管系工程师（生产设计）,船舶制造人员,2,0,1
890,产品经理（船舶自动化信息化),海洋工程技术人员,2,0,1
899,船舶电气设备服务工程师（可英语沟通）,船舶制造人员,1,0,1
892,码头外操,道路和水上运输工程技术人员,3,0,1
900,二类船长/驾驶员,船舶指挥和引航人员,2,0,1
902,装备监造工程师,道路和水上运输工程技术人员,3,0,1
906,产品工程师（S202314）（二级公司-沪东重机）,船舶制造人员,2,0,1
912,产品工程师（S202314）（二级公司-沪东重机）,船舶制造人员,2,0,1
