ability_id,original_ability,side,supply_occurrences,supply_file_count,demand_occurrences,demand_record_count,supply_evidence_sample,demand_evidence_sample,demand_job_sample
11,工程伦理与社会责任意识,supply,8,8,0,0,能够在工程实践中理解并遵守工程职业道德和规范，履行责任；理解工程师对公众的安全、健康、福祉以及环境保护的社会责任。 | 具有社会责任感，了解电子信息工程领域工程师的职业性质和责任，能够在工程实践中理解并遵守工程职业道德和规范，履行责任。 | 毕业要求6工程与社会、8职业规范：评价工程实践对社会、健康、安全、法律的影响，遵守职业道德,,
12,团队协作与项目管理能力,supply,7,7,0,0,团队合作能力：能够与团队成员和谐相处，协作共事，并作为成员或领导者在团队活动中发挥积极作用。 | 能够在涉及食品及相关学科的团队活动中承担个体、团队成员及负责人角色；理解并掌握食品工程管理原理、商业规则和经济决策方法。 | 具有良好的团队协作和沟通交流能力，能在机械相关领域进行工程项目管理与协调，能够在多学科背景下的团队合作中承担角色。,,
13,海上风电项目管理能力,demand,0,0,7,7,,负责对施工项目实施全过程全面管理，负责项目的进度、安全、质量、成本控制；风电场项目从开工直至并网验收完成整个流程能熟练掌控 | 对海上风电业务流程全要素清晰；从事本专业管理5年以上，有2个及以上项目相关管理经历；项目施工全过程技术管理 | 配合完成海上风电工程项目的安全、质量、工期、成本及现场文明施工等日常管理工作; 具有较强的沟通协调及团队协助能力，能够独立开展工作。,海上风电项目经理 | 海上风电项目管理 | 海上风电土木技术员
14,现代工程工具与信息技术应用能力,supply,7,7,0,0,能够开发、选择与使用恰当的技术、资源、现代工程类设计与开发工具、信息技术工具，包括对复杂工程问题的预测与模拟；使用现代信息技术工具获取文献，使用工程工具进行设计... | 能够开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具，对能源动力领域复杂工程问题进行预测、模拟、求解和论证。 | 能够针对轮机工程领域的复杂问题，开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具，包括对复杂工程问题的预测与模拟。,,
15,自主学习和终身学习能力,supply,7,6,0,0,形成自主学习和终身学习的意识，有不断学习和适应发展的能力。 | 培养目标明确具备自主学习和终身学习的意识，毕业要求12条为终身学习。 | 毕业要求8：终身学习的能力，具有自主学习和终身学习的意识，有不断学习和适应发展的能力。,,
16,船舶管理能力,supply+demand,6,6,1,1,核心课程：船舶管理A；掌握船舶管理原理与经济决策方法，能在多学科环境中应用 | 核心课程船舶管理B；毕业要求10：理解并掌握工程管理原理与经济决策方法；实践环节包括轮机管理专业实习。 | 核心课程包括船舶管理，具备船舶机舱管理、船员管理及安全运营管理能力。,1年以上相关船舶管理工作经验；具有较强的协调、沟通、管理能力,船机管理员
17,轮机英语应用能力,supply,7,5,0,0,核心课程：轮机英语；实践：轮机英语听力与会话训练；具备英语听说读写基本能力，能进行跨文化沟通 | 掌握轮机英语（1）（2）及轮机英语听力与会话课程，能够在跨文化背景下沟通交流。 | 课程包括轮机英语阅读写作、轮机英语听力与会话训练，毕业生需具备外语应用能力和跨文化交流能力。,,
18,嵌入式系统开发能力,supply,6,5,0,0,选修课程包括嵌入式系统、嵌入式软件，并有相应实验。 | 限选嵌入式系统设计、微机原理与应用及实验，培养嵌入式软硬件开发能力。 | 限选课程包括嵌入式系统与接口技术及其实验（共3学分）。,,
19,工程项目管理能力,supply,6,3,0,0,理解并掌握能源与动力工程领域工程管理原理与经济决策方法，并能在多学科环境中应用。 | 工程项目管理与经济决策、通信工程项目管理、通信经济学等课程；掌握工程管理原理与经济决策方法。 | 毕业要求11：理解并掌握工程管理原理与经济决策方法，并能在多学科环境中应用，掌握船舶建造运营和设备购置维修等全周期、全流程的成本构成。,,
20,海洋工程项目管理能力,demand,0,0,6,6,,具有5年以上海洋工程管理经验；海洋工程相关专业；本科及以上学历 | 协助项目负责人对项目结构的质量、安全、进度、费用进行管理与控制，负责项目统筹管理工作 | 负责内外部沟通协调，确保项目中标，推动项目落地；负责合同签订，跟进项目执行进度及质量，确保按期交付。,海洋工程总监 | 项目工程师（结构） | 业务经理
21,环境与可持续发展评价能力,supply,6,3,0,0,能够理解和评价针对复杂航海技术问题的工程实践对环境、社会可持续发展的影响（毕业要求7） | 毕业要求7：能够理解和评价针对复杂航海技术问题的工程实践对环境、社会可持续发展的影响。 | 毕业要求7：能够理解和评价物联网系统生产和应用过程等工程实践对环境、社会可持续发展的影响。,,
22,现代工具使用能力,supply,6,5,0,0,能够针对声学领域问题开发、选择与使用恰当的技术、资源和现代工程工具，包括预测与模拟。 | 毕业要求：能够开发、选择与使用适当的技术、资源、现代工程工具和信息技术工具，对复杂工程问题进行预测与模拟。 | 毕业要求指出：能够开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具，包括预测与模拟。,,
23,终身学习与自主发展能力,supply,6,6,0,0,具有自主学习和终身学习的意识，有不断学习和适应发展的能力，主动跟踪和了解船舶与海洋工程领域的最新理论、技术和国际前沿动态 | 具有自主学习和终身学习的意识，关注环境工程领域的发展动态，有不断学习和适应发展的能力。 | 具有自主学习和终身学习的意识和能力，能够理解广泛的技术变革对工程和社会的影响，适应新技术变革，具有批判性思维能力。,,
24,航海技术研究能力,supply,6,3,0,0,毕业要求4：能够基于航海技术学科相关的原理并采用先进科学方法对航海技术工程领域的复杂工程问题进行研究。 | 能够基于科学原理并采用科学方法对复杂航海技术工程问题进行研究，包括设计实验、分析与解释数据，并通过信息综合得到合理有效的结论。 | 能够基于科学原理并采用科学方法对复杂航海技术问题进行研究，并能得到合理有效的结论（毕业要求4）,,
25,航海技术解决方案设计能力,supply,6,2,0,0,能够设计针对复杂航海技术工程问题设计和开发解决方案，设计满足特定需求的计划航线、货物积载与系固方案等，体现创新性。 | 能够设计针对复杂航海技术问题的解决方案，并在设计环节中体现创新意识，考虑社会、健康、安全、法律、文化及环境等因素（毕业要求3） | 毕业要求3：能够设计针对复杂航海技术问题的解决方案，设计满足特定需求的工作流程，并体现创新意识。,,
26,航海技术问题分析能力,supply,6,2,0,0,能够应用数学、自然科学和工程科学的基本原理，识别、表达并通过文献研究分析复杂航海技术工程问题，综合考虑可持续发展的要求，以获得有效结论。 | 能够应用数学、自然科学和工程科学的基本原理，识别、表达、并通过文献研究分析复杂航海技术问题（毕业要求2） | 毕业要求2：能够应用数学、自然科学和工程科学的基本原理，识别、表达、并通过文献研究分析复杂航海技术问题。,,
27,船舶总体设计能力,demand,0,0,6,6,,总体方向要求熟练使用NAPA软件 | 负责总体设计及总体方案的编写; 负责总体专业各阶段图纸及设备资料的审核 | 承担本专业产品研发、相关图纸设计、技术谈判准备及现场技术问题处理等工作；熟练使用NAPA软件,研发设计师（轮机） | 研发设计师（电气） | 总体/流体计算工程师
28,跨文化沟通与国际视野,supply,6,5,0,0,具备国际视野，了解船舶与海洋工程专业领域国际发展趋势；具备外国语言能力，能就专业问题在跨文化背景下进行有效沟通。 | 培养目标要求具有国际视野，毕业要求具备跨文化沟通能力，需修读不低于2个国际化教育学分。 | 能够就交通运输领域的复杂工程问题与业界同行及社会公众进行有效沟通和交流，具备一定的国际视野,,
29,轮机工程问题分析能力,supply,6,1,0,0,毕业要求2：能够应用数学、自然科学和工程科学的基本原理，识别、表达、并通过文献研究分析轮机工程专业领域的复杂工程问题，并获得有效结论。 | 毕业要求2：能够应用数学、自然科学和工程科学的基本原理，识别、表达、并通过文献研究分析轮机工程专业领域的复杂工程问题。,,
30,项目管理能力,supply,6,4,0,0,理解并掌握工程管理原理与经济方法，能针对声学系统设计、开发和生产过程进行组织实施和管理。 | 毕业要求：理解并掌握工程管理原理与经济决策方法，并能在多学科环境中应用。 | 毕业要求指出：理解并掌握工程管理原理与经济决策方法，并能在多学科环境中应用。,,
31,团队合作与沟通能力,supply,5,5,0,0,能够与其他学科的成员和谐开展工作，有效沟通，合作共事...能够倾听其他团队成员的意见，并组织、协调和指挥团队开展工作。 | 具备团队合作能力、沟通协调能力，能够在多学科背景下有效沟通交流、撰写报告、陈述发言。 | 具备良好的团队合作精神、协调能力与责任意识，能够在多学科背景的团队中承担个体、团队成员以及负责人的角色,,
32,国际视野与跨文化沟通能力,supply,5,5,0,0,毕业要求具备国际视野和跨文化沟通能力；课程实用国际商务英语、国际工程管理；培养目标强调国际化。 | 具备一定的国际视野，能够在跨文化背景下进行沟通和交流 | 要求获得不低于2个国际化教育学分，可通过国际课程、国际交流项目等获得。,,
33,工程实践与创新能力,supply,5,4,0,0,通过实验课程、工程实践、毕业设计等14学分实习实践环节，加强工程实践训练，培养好奇心驱动的具有创造力的科技人才。 | 实践环节包括工程综合实践、生产实习、科技创新、毕业论文与设计，强化创新与工程实践能力培养。 | 具备一定的实践、创新能力；实践环节：电子技术课程设计、企业项目实训、毕业设计,,
34,工程经济与项目管理能力,supply,5,3,0,0,掌握工程项目管理的基本理论和解决工程项目管理实际问题的基本能力，并能在多学科环境中应用；核心课程包括水运工程经济与项目管理。 | 工程经济与项目管理课程，运用经济管理及其决策方法分析复杂工程实践问题 | 特色课程：工程经济与项目管理、物流成本管理；毕业要求支撑项目管理,,
35,智能航海技术应用能力,supply,5,4,0,0,学科基础课包括智能船舶技术基础与应用，选修模块有智能航海模块，含智能船舶与大数据分析、无人智能船舶技术等课程 | 限选课包括智能航海导论、物联网与船联网技术、航运大数据技术与应用、智能船岸基支持系统与远程控制。 | 限选课程包括智能航海导论、物联网与船联网技术、航运大数据技术与应用、智能船岸基支持系统与远程控制等。,,
36,智能航运技术应用能力,supply,5,2,0,0,智能航海导论、物联网与船联网技术、航运大数据技术与应用、智能船岸基支持系统与远程控制等限选课程支撑 | 限选（智能航运方向）：智能航海导论、智能船岸基支持系统与远程控制、物联网与船联网技术、船舶建模与控制、航运大数据技术与应用。 | 通过智能航海导论、物联网与船联网技术、航运大数据技术与应用、智能船岸基支持系统与远程控制等课程，掌握智能航运相关技术。,,
37,海上安全与应急能力,supply,5,3,0,0,实践课程：熟悉与基本安全、精通救生艇筏和救助艇、精通急救、高级消防、船舶保安；课程：国家安全教育（航海）。 | 通过精通救生艇筏和救助艇、精通急救、高级消防、基本安全、船舶保安等实践，掌握海上安全与应急技能。 | 实践环节：精通救生艇筏和救助艇 (1学分)、精通急救 (1学分)、高级消防 (1学分)、基本安全 (2.5学分)、船舶保安 (0.5学分)。满足STCW公约要求...,,
38,海洋环境监测与评价能力,supply,5,5,0,0,掌握海洋环境监测、海洋环境监测实验等课程，具备海洋环境监测与评价能力。 | 海洋环境监测与评价课程培养学生对环境监测与评价的能力。 | 具备海洋环境检测与评价方面的技能；核心课程水域环境监测与评价A及实验（培养目标）,,
39,港口航道工程设计能力,demand,0,0,5,5,,负责项目的水利、港航设计实施工作，做好图纸成品的自校和修改，对设计成果质量及进度负责，参与施工交底、工地服务。 | 从事工程设计实践10年以上，且作为专业技术负责人主持过水运行业中型及以上设计项目3项，其中大型项目至少1项，至少包含港口工程、航道工程、通航建筑工程、修造船厂水... | 具备港航专业中级及以上职称，从事工程设计实践10年以上，且作为专业技术负责人主持过水运行业中型及以上设计项目3项，其中大型项目至少1项，至少包含港口工程、航道工...,港航工程师 | 结构（金属）工程师 | 水利设计工程师、港口航道与海岸工程设计师
40,现代工程工具使用能力,supply,5,5,0,0,掌握常用办公软件，掌握一种数字化技术，能够选择与使用恰当的仪器、信息资源、工程工具和专业模拟软件，对复杂工程问题进行分析、计算与设计。 | 能够针对食品复杂工程问题，开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具，包括预测与模拟。 | 毕业生能力要求：能够针对船舶与海洋工程领域复杂工程问题，开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具,,
41,现代工程工具应用能力,supply,5,5,0,0,能够针对复杂工程问题，开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具，包括对复杂工程问题的预测与模拟，并理解其局限性。 | 能够针对能源与动力工程领域复杂工程问题，开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具，包括对复杂工程问题的预测与模拟。 | 毕业要求5-1、5-2：能够针对机械领域复杂工程问题，开发、选择与使用现代工具进行建模、预测与仿真；课程包括有限元分析、CAD/CAM等。,,
42,终身学习与自我发展能力,supply,5,3,0,0,对终身学习有正确的认识，具有不断学习和适应发展的能力 | 毕业要求：具有自主学习和终身学习的意识，有不断学习和适应发展的能力 | 毕业要求12-1：具有自主学习和终身学习意识，掌握自主学习的方法。,,
43,航海技术工程知识应用能力,supply,5,2,0,0,能够应用数学、自然科学、计算、工程基础和航海技术专业知识、技能和工具，解决船舶驾引与营运、航运科技、海事管理、教学与科研等航海技术领域复杂工程问题。 | 具备将数学、自然科学、工程基础和专业知识应用于航海技术领域复杂工程问题的能力（毕业要求1） | 毕业要求1：具备将数学、自然科学、工程基础和专业知识应用于航海技术领域复杂工程问题的能力。,,
44,航运市场分析能力,demand,0,0,5,5,,跟踪航运市场行情变化，对航运市场具备一定分析能力，为推动业务发展提供相关决策建议 | 熟悉航运市场行情，有敏锐的市场意识和良好的谈判技巧；熟练掌握基本租船术语，熟悉各种类型的件杂船、散货船操作流程和规范 | 跟踪航运市场行情变化，对航运市场具备一定分析能力，为推动业务发展提供相关决策建议。,船舶买卖经纪人 | 租船经纪人 | 租船操作专员
45,船体生产设计能力,demand,0,0,5,5,,负责船体各设计阶段生产设计工作；船体三维建模、设备基座出图，现场施工放样问题处理 | 负责船体专业的三维放样工作（软件：Tribon）；绘制船体专业的施工图；钢材统计及订货；编制船体施工工艺 | 负责船体专业生产设计工作；三维建模、设备基座出图，现场施工放样问题处理,船体放样工程师（国际事业部） | 船体生产设计工程师 | 船体放样工程师
46,船舶产品质量检验能力,demand,0,0,5,5,,依据国家和船级社标准，承担产品质量检验、质量问题分析处理、质量考核、资料归集等日常管理工作并协助提升公司产品质量。船舶类相关专业 | 从事船舶产品的质量检验，熟悉船级社的规范、通晓船体施工流程和施工工艺；负责编制船体项目检验表，实施造船过程中的质量检验 | 按照有关合同、技术协议书、质量标准和技术文件的规定，对相关产品质量进行检验，并将检验结果和规定的质量要求进行对比，评定该产品是否符合质量要求，做出合格或不合格的...,质检师（江阴） | 质检员（消防系统、消防杂件、船舶设备等） | 检验员
47,船舶动力装置技术管理能力,supply,5,1,0,0,特色课程：船舶动力装置技术管理；必修课程：船舶动力装置技术管理（3学分），涵盖轮机工程管理。 | 核心课程：船舶动力装置技术管理、船舶防污染技术、船舶及海上设施检验(海上)等。 | 必修课程包括船舶动力装置技术管理（英），涉及船舶建造运营和设备购置维修等全周期成本构成。,,
48,船舶电气与自动化控制能力,supply,5,5,0,0,重点突出船舶机电一体化下对电、测、控等方面的课程和实践教育；核心课程：船舶电气设备与系统C、轮机自动化B、电力推进系统 | 掌握船舶电气设备与系统、轮机自动化等核心课程知识，具备船舶电气与自动控制实验能力。 | 专业核心课程包括船舶电气及控制系统、轮机自动控制系统、船舶智能机舱及管理；选修包括PLC应用技术、电喷柴油机控制系统,,
49,船舶轮机质量检验能力,demand,0,0,5,5,,从事船舶产品的质量检验，熟悉船级社的规范、通晓轮机施工流程和施工工艺；负责编制轮机项目检验表，实施造船过程中的质量检验 | 从事船舶产品的质量检验，熟悉船级社的规范、通晓轮机施工流程和施工工艺；负责编制轮机项目检验表，实施造船过程中的质量检验；负责产品入库检验，做好过程检验记录及设备... | 从事船舶产品的质量检验，熟悉船级社的规范、通晓轮机施工流程和施工工艺；负责编制轮机项目检验表，实施造船过程中的质量检验。,轮机质检员（国际事业部） | 轮机质检员（中山厂） | 船机电质检人员
50,计算机与信息技术应用能力,supply,5,5,0,0,毕业要求能够开发、选择与使用现代工程工具和信息技术工具，包括对复杂工程问题进行数据统计与分析、预测与模拟，课程包括C程序设计基础、数值分析、结构有限元仿真技术与... | 掌握计算机和信息技术的基本知识，具有熟练运用专业相关软件的技能，具备应用计算机语言编程并处理数据的知识体系和能力。 | 必修课有大学计算机基础、计算机程序设计基础(C)，限选课有土木工程设计软件的应用与实践。,,
51,人工智能与机器学习能力,supply,4,3,0,0,核心课程包括机器学习、数据分析与数据挖掘，选修有深度学习、计算机视觉、自然语言处理、生成式人工智能等。 | 学科基础课程：人工智能II；选修课程：机器学习、计算机视觉、智能计算系统；实践环节：人工智能先导实践。 | 表2必修机器学习及实验，表3限选人工智能基础、自然语言处理导论、人工神经网络及深度学习等，培养AI应用能力。,,
52,团队协作与跨文化沟通能力,supply,4,4,0,0,具有良好的表达、交流和沟通能力，有较强的协调、组织和团队协作能力，能够在多学科团队中合作工作或协调、组织团队开展工作，并能在跨文化背景下进行专业问题的沟通和交流... | 毕业生能力要求在多学科团队中承担角色，与业界同行及社会公众有效沟通，具备国际视野。 | 具有组织能力、表达能力和人际交往能力，在多学科团队中承担不同角色；能够就复杂工程问题与同行及社会公众有效沟通，具备国际视野。,,
53,多学科团队协作能力,supply,4,4,0,0,能够在多学科背景下的团队中，尤其是现代船舶轮机管理体系中承担个体、团队成员以及负责人的角色。 | 毕业要求6：个人和团队，能够在多学科背景下的团队中承担个体、团队成员以及负责人的角色。 | 毕业要求9：能够在多学科背景下的团队中承担个体、团队成员以及负责人的角色。,,
54,工程项目管理与经济决策能力,supply,4,4,0,0,理解并掌握环境工程领域工程管理的基本原理与工程经济决策方法，并能在多学科环境中应用。 | 理解并掌握工程管理的基本原理与工程经济决策方法，并能够在多学科环境中应用。 | 毕业生能力要求：理解并掌握船舶与海洋工程管理原理与经济决策方法；选修工作技能课程：工程项目管理,,
55,机舱资源管理能力,supply,4,4,0,0,实践环节：机舱资源管理训练；具有一定的组织管理能力、表达能力和团队合作能力 | 通过机舱资源管理实操，具备机舱资源管理与协调能力。 | 课程包括电站与机舱资源管理训练，毕业生需具备机舱资源管理和团队协作能力。,,
56,水声算法研发能力,demand,0,0,4,4,,负责公司相关水声学和声学算法开发和算法实现；掌握水声通信中的调制解调，信源编码译码，信道编码译码，对水声信道有深刻的理解。 | 负责声学软件算法开发和维护，涉及有限元、边界元、统计能量法、声学信号处理；具备水声学专业知识 | 负责水声通信、水声目标探测、声场模型等领域的算法研究、仿真与实现，针对不同应用场景需求设计并优化算法,水声研发工程师 | 声学研发工程师(J10022) | 水声算法工程师
57,海上风电施工技术管理能力,demand,0,0,4,4,,"负责海上风电项目施工技术管理; 根据项目要求,结合海洋环境以及施工资源,参与审核海上风电基础、海上机组安装、海上升压站、陆上集控中心及海缆施工等施工方案。 | 负责本专业设施施工、安装、连接调试等具体设计和校核工作；负责招标采购技术文件准备、审查；负责科研课题的提出和推进 | 负责项目图纸会审及工程变更；编制施工组织设计及相关专项方案；进行技术交底；处理现场技术问题",海上风电土木技术员 | 海上风电施工设计工程师 | 项目工程师
58,海上风电施工管理能力,demand,0,0,4,4,,具有海上风电施工经验，海上风机基础施工，打桩、套笼安装，海上风机基础桩沉桩、施工现场安全技术质量管理经验者优先。 | 熟悉海上风电基础施工或风机安装施工工艺；3年以上海洋工程相关专业领域的工作经验 | 熟悉海上风电风机基础施工、风机安装或海缆敷设工程管理和施工管理知识；具备高效的质量、进度、安全、标准管理经验。,工程项目管理及施工技术人员 | 施工队长 | 项目经理
59,海洋装备工艺设计与开发能力,demand,0,0,4,4,,识别基础工艺技术，丰富公司工艺技术树，开发和持续改善通用加固及防护工艺、高密度线束工艺、水密装配工艺、防腐蚀工艺等；主持并切身参与工艺设计工作，识别产品设计中的... | 根据公司产品工艺特性，识别基础工艺技术，丰富公司工艺技术树，并负责开发和持续改善；掌握军用电子设备的相关加固工艺技术，尤其是船舶、水下等海洋应用环境的产品工艺技... | 根据公司产品工艺特性，识别基础工艺技术，丰富公司工艺技术树，并负责开发和持续改善；掌握军用电子设备的相关加固工艺技术，尤其是船舶、水下等海洋应用环境的产品工艺技...,高级工艺工程师
60,港口机电工程项目管理能力,demand,0,0,4,4,,负责工程施工管理，工程设计类项目相关专业的方案设计、初步设计、施工图设计；配合投标，包括文件审查和编写、设备询价、概算编制等；配合前期现场勘察、方案策划、商务和... | 承接机电总包工程、港口码头岸电工程、皮带机控制工程、起重设备改造工程等项目的现场施工管理；负责管理项目从前期投标到竣工验收的整体协调。 | 负责工程施工管理，工程设计类项目相关专业的方案设计、初步设计、施工图设计；配合公司进行工程项目（不限于EPC、设计、施工、系统集成等）的投标,项目高级主管 | 项目经理（机电工程） | 项目副总经理
61,港口海岸及近海工程设计能力,demand,0,0,4,4,,港口、海岸及近海工程等相关专业；水工设计师（应届） | 水利水电工程、水工结构工程、港口、海岸及近海工程、水文学及水资源、水力学及河流动力学等相关专业,水工设计师（应届）
62,港口航道工程施工管理能力,demand,0,0,4,4,,负责港口航道单位工程的施工管理，对施工全过程进行布置、检查、监督，确保工程质量达到设计要求。 | 施工管理 港口航道工程、水工建筑物施工、给排水管网、预制装配施工、新能源 工程施工管理；负责项目现场实施总体管理，做好项目实施计划并协调各方顺利完成项目施工 | 持一级机电/港口与航道工程建造师；全面负责项目进度、质量、成本、安全文明施工管理；代表公司履行工程项目施工合同。,港口航道方向 技术员（上海分公司） | 项目经理 | 项目工程部主任/副主任
63,港口航道工程项目管理能力,demand,0,0,4,4,,建立项目部内部管理系统；参与项目策划并按《项目策划书》组织实施；负责与业主、监理及项目利益相关方的沟通联系；持港口航道工程一级建造师证，有3个及以上大型港航工程... | 从事公司港口航道/水利水电项目管理，根据实际情况担任公司省内外在建工程项目技术及现场管理人员等职务；熟悉项目管理各项业务和操作流程。 | 五年以上项目经理工作经验，有新能源项目业绩优先，一级注册建造师执业资格（专业机电工程或水利水电或港口与航道工程）,项目经理（履职） | 港口航道/水利水电专业一、二级建造师，中高级工程师 | 社会招聘-项目经理
64,环境与可持续发展意识,supply,4,3,0,0,知晓和理解环境保护和可持续发展的理念和内涵...能够站在环境保护和可持续发展的角度，思考工程项目实践的可持续性，评价其资源利用效率、污染物处置方案和安全防范措施... | 毕业要求7：能够理解和评价针对自动化领域复杂工程问题的专业工程实践对环境、社会可持续发展的影响。 | 毕业要求7：能够理解和评价针对轮机工程专业领域内的复杂工程问题的工程实践对环境、社会可持续发展的影响。,,
65,终身学习与自主学习能力,supply,4,4,0,0,C5 终身学习和自主学习能力。 | 能够正确认识不断探索和终身学习的必要性，具有自主学习和终身学习的意识，掌握自主学习的方法。 | 能在社会发展的大背景下，能够正确认识不断探索和终身学习的必要性，具有自主学习和终身学习的意识...了解自主学习的方法，具有自主学习的能力。,,
66,终身学习能力,supply,4,4,0,0,具有国际视野和终身学习能力，能够及时了解机械领域的前沿发展现状和趋势，具备不断学习和适应社会发展的能力。 | 毕业要求：具有自主学习和终身学习的意识，有不断学习以适应发展的能力。 | 毕业要求指出：具有自主学习和终身学习的意识，有不断学习和适应发展的能力。,,
67,航运业务运营管理能力,demand,0,0,4,4,,负责货代船舶日常运营操作，包括合同签订、动态跟踪、运费结算、ERP系统录入；熟悉航运业务管理流程及各业务关键点 | 负责协助监管片区各项业务考核指标项目；负责协助涉及船舶营运、调度等相关跟进事宜；负责根据口岸资源协助组织整合涉及各口岸航线及运力匹配 | 负责船舶运营管理。协调租入及租出船期；跟踪船舶与货物在途状态；船员调配管理；物资采购管理；市场研究与开拓；船舶买卖等,市场专员 | 航运管理管培生 | 航运业务管培生
