side,source_file,source_index,job_title,occupation_name,ability,canonical_competency,coding_status,merge_rationale,evidence
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,环境工程过程模拟与计算能力,环境工程治理能力,confirmed,环境工程和污染治理支撑合并,通过环境工程过程模拟、环境工程原理等课程，培养环境工程过程的数学建模与计算分析能力。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版环境工程专业本科人才培养方案.pdf.txt,,,,环境工程实验与操作能力,环境工程治理能力,confirmed,环境工程和污染治理支撑合并,通过水处理工艺实验、环境监测实验等，培养实验设计、数据采集与分析能力。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,水利水电工程综合能力,土木交通水利工程能力,confirmed,土木交通、水利水文和基础设施合并,培养能在水利水电行业从事勘测、规划、设计、施工、运行、管理和科研等工作的高级专业技术和管理人才。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,水文水资源工程综合能力,土木交通水利工程能力,confirmed,土木交通、水利水文和基础设施合并,培养能在水利、水电、能源、交通、水务、市政、生态、环保、国土资源等行业从事水文、水资源、水环境、水生态方面的勘测、评价、规划、设计、预测预报和管理等工作的高级专业技术和管理人才。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,农业水利工程综合能力,土木交通水利工程能力,confirmed,土木交通、水利水文和基础设施合并,培养能在水利、水保、农业、自然资源等部门从事工程勘测、规划、设计、施工、运行管理与科研工作的高级工程技术和管理人才。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,港口航道与海岸工程综合能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,培养能在港口航道与海岸工程行业从事勘测、规划、设计、施工、运行、管理和科研等工作的高级专业技术和管理人才。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,工程问题分析与建模能力,工程基础与问题分析能力,confirmed,工程基础、数理和问题分析合并,能运用数学、自然科学和工程科学的基础理论与方法，通过文献研究、现场调查等手段识别、表达和分析复杂工程问题；能够针对具体问题建立数学模型并求解。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,工程设计开发与创新能力,科研实验创新实践能力,confirmed,科研、实验、创新实践和学习发展合并,能够综合考虑社会、健康、安全、法律、文化及环境等因素，针对复杂工程问题设计出满足需求的工程结构、工艺方法、工程措施等解决方案，并能在设计中体现传承与创新。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,工程实验与研究能力,科研实验创新实践能力,confirmed,科研、实验、创新实践和学习发展合并,能够基于科学原理和现代信息技术，采用实验、计算分析等方法，分析复杂工程问题的关键要素，设计实验方案，安全开展实验，采集数据，分析结果并得到合理有效结论。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,现代工程工具应用能力,数字化工具与软件应用能力,confirmed,通用信息技术、软件和数字工具合并,能够针对复杂工程问题，开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具，包括对复杂工程问题的预测与模拟，并理解其局限性。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,工程伦理与社会责任意识,工程伦理安全可持续能力,confirmed,伦理、安全、法律政策和可持续合并,能够在工程实践中理解并遵守工程职业道德和规范，履行责任；理解工程师对公众的安全、健康、福祉以及环境保护的社会责任。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,团队协作与组织管理能力,团队沟通国际化能力,confirmed,团队沟通、外语和国际化合并,具有一定的组织管理能力、表达能力、人际交往能力和团队协作精神，能够在多学科背景下的团队中承担个体、团队成员以及负责人的角色。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,跨文化沟通与交流能力,团队沟通国际化能力,confirmed,团队沟通、外语和国际化合并,能够就专业问题与业界同行及社会公众进行有效沟通和交流，具备国际视野，能够在跨文化背景下进行沟通和交流。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,工程项目管理与经济决策能力,工程管理经济质量能力,confirmed,工程管理、经济、市场和质量合规合并,理解并掌握工程管理的基本原理与工程经济决策方法，并能够在多学科环境中应用。
supply,不含海但有相关专业的院校_三峡大学（2021）_2021版水利类本科人才培养方案.pdf.txt,,,,终身学习与职业发展能力,科研实验创新实践能力,confirmed,科研、实验、创新实践和学习发展合并,具备自主学习和终身学习的意识，具有较强的不断学习和适应社会经济及行业发展的能力，能够根据社会和行业发展的需要制定并有效实施自身的职业发展规划。
supply,不含海但有相关专业的院校_中国地质大学（2023）_海洋科学专业（菁英班）2023版本科培养方案.pdf.txt,,,,现代海洋科学理论基础,海洋科学综合研究能力,confirmed,海洋科学综合研究和实践合并,掌握现代海洋科学，特别是海洋地质与资源方面的基础理论、基本知识，包括海洋学基础、大洋底构造地质学、海洋沉积学等课程（毕业要求3）。
supply,不含海但有相关专业的院校_中国地质大学（2023）_海洋科学专业（菁英班）2023版本科培养方案.pdf.txt,,,,海洋调查观测与数据分析能力,海洋调查观测测绘能力,confirmed,海洋调查、观测、采样和测绘合并,掌握海洋调查、数据采集处理、成果解释和综合分析的基本方法和技能，包括海洋调查技术与方法、海洋地球物理勘探等课程（毕业要求4）。
supply,不含海但有相关专业的院校_中国地质大学（2023）_海洋科学专业（菁英班）2023版本科培养方案.pdf.txt,,,,海洋地质与矿产资源勘查能力,海洋地质地球物理能力,confirmed,海洋地质、地球物理和地球科学合并,掌握海洋地质与资源相关工作的基本方法，包括海底矿产资源、海洋油气地质学、沉积盆地分析等课程（毕业要求6）。
supply,不含海但有相关专业的院校_中国地质大学（2023）_海洋科学专业（菁英班）2023版本科培养方案.pdf.txt,,,,岩矿鉴定与地质构造分析能力,海洋地质地球物理能力,confirmed,海洋地质、地球物理和地球科学合并,掌握岩矿鉴定、地层与古生物分析和地质构造研究等方面的基本技术和方法，包括矿物岩石学、地层及古生物学等课程（毕业要求5）。
supply,不含海但有相关专业的院校_中国地质大学（2023）_海洋科学专业（菁英班）2023版本科培养方案.pdf.txt,,,,海洋化学、生物与物理海洋综合能力,物理海洋气象分析能力,confirmed,物理海洋、气象和数值分析合并,初步掌握海洋化学、海洋生物、物理海洋、海洋环境评价的基本方法，包括化学海洋学、生物海洋学、物理海洋学等课程（毕业要求7）。
supply,不含海但有相关专业的院校_中国地质大学（2023）_海洋科学专业（菁英班）2023版本科培养方案.pdf.txt,,,,海洋科学科研与论文写作能力,海洋科学综合研究能力,confirmed,海洋科学综合研究和实践合并,初步掌握资料查询、归纳、整理和综合分析的方法，具有专业科技论文撰写和自主学习、适应发展的基本能力（毕业要求8）。
supply,不含海但有相关专业的院校_中国地质大学（2023）_海洋科学专业（菁英班）2023版本科培养方案.pdf.txt,,,,海洋测绘与工程能力,海洋调查观测测绘能力,confirmed,海洋调查、观测、采样和测绘合并,通过海洋测绘基础、海洋测量学、海岸工程学等课程，以及海洋测绘基础实习等实践环节，培养海洋测绘与工程初步能力（课程及实践环节）。
supply,不含海但有相关专业的院校_中国地质大学（2023）_海洋科学专业（菁英班）2023版本科培养方案.pdf.txt,,,,地球物理勘探与资料解释能力,海洋地质地球物理能力,confirmed,海洋地质、地球物理和地球科学合并,通过海洋地球物理勘探实习、地震-测井资料地质综合解释课程设计等实践，培养地球物理勘探与资料解释能力（实践环节）。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,船舶与海洋工程综合能力,船舶设计研发能力,confirmed,船舶海洋工程基础、分析与工具使用并入船舶设计研发,掌握船舶与海洋结构物构造、流体性能、结构、制造、设备与系统等专业知识，能结合数学模型方法用于推演、分析专业复杂的船舶与海洋工程问题。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,数学建模与科学计算能力,工程基础与问题分析能力,confirmed,工程基础、数理和问题分析合并,掌握数学、计算机应用及程序设计及相关基础知识，能针对具体的对象建立数学模型并求解。课程包括数学分析、线性代数、科学计算、常微分方程、偏微分方程等。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,船舶设计能力,船舶设计研发能力,confirmed,对象为船舶设计、研发与工程分析,能够根据需要，明确设计目标，并清晰地描述设计任务；掌握工程设计和产品开发全周期、全流程的基本设计方法。课程包括船舶设计基础I、II、船舶设计-I、船舶与海洋工程结构设计。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,船舶流体力学与性能分析能力,船舶设计研发能力,confirmed,对象为船舶设计、研发与工程分析,课程包括船舶流体力学-I、II、船舶快速性、海洋结构物动力学等，培养学生在船舶流体性能、结构动力学等方面的分析与计算能力。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,船舶结构力学与强度分析能力,船舶设计研发能力,confirmed,对象为船舶设计、研发与工程分析,课程包括船舶结构力学、有限元分析、船体振动等，培养学生在船舶结构强度、振动、噪声等方面的分析与设计能力。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,绿色船舶动力系统能力,船舶轮机动力能力,confirmed,对象为船舶轮机与动力系统,课程包括绿色船舶动力系统-I、船舶主机、混合动力系统原理与控制等，培养学生掌握船舶动力系统的设计、分析与绿色技术。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,海洋工程环境与载荷分析能力,海洋工程装备设计制造能力,confirmed,海洋工程装备、结构和系统设计制造合并,选修课程包括海洋工程环境学、海洋工程环境载荷与水动力性能，培养学生对海洋环境及工程载荷的分析能力。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,智能船舶技术能力,船舶通导与智能系统能力,confirmed,对象为船舶通导、信息化与智能绿色系统,交叉模块开设智能船舶基础-I、智能船舶创新实践，培养学生运用数学和工程知识解决智能船舶问题的能力。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,工程实践与创新能力,科研实验创新实践能力,confirmed,科研、实验、创新实践和学习发展合并,通过实验课程、工程实践、毕业设计等14学分实习实践环节，加强工程实践训练，培养好奇心驱动的具有创造力的科技人才。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,项目管理与工程管理能力,工程管理经济质量能力,confirmed,工程管理、经济、市场和质量合规合并,掌握工程实践活动中涉及的工程管理学和经济学基本知识，及工程管理原理与经济决策方法，能在设计开发中正确运用。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,跨文化沟通与国际视野,团队沟通国际化能力,confirmed,团队沟通、外语和国际化合并,具备国际视野，了解船舶与海洋工程专业领域国际发展趋势；具备外国语言能力，能就专业问题在跨文化背景下进行有效沟通。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,团队协作与领导力,团队沟通国际化能力,confirmed,团队沟通、外语和国际化合并,能够与其他学科成员和谐开展工作，有效沟通，合作共事；能够组织、协调和指挥团队开展工作。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋工程.pdf.txt,,,,终身学习与自主学习能力,科研实验创新实践能力,confirmed,科研、实验、创新实践和学习发展合并,能够正确认识不断探索和终身学习的必要性，具有自主学习和终身学习的意识，掌握自主学习的方法。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,船舶与海洋工程综合设计能力,船舶设计研发能力,confirmed,船舶海洋工程基础、分析与工具使用并入船舶设计研发,掌握船舶与海洋结构物构造、流体性能、结构、制造、设备与系统等专业知识...设计/开发出满足船舶与海洋工程流体、结构性能的总体方案、结构（系统）型式、生产工艺流程。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,船舶与海洋工程问题分析能力,船舶设计研发能力,confirmed,船舶海洋工程基础、分析与工具使用并入船舶设计研发,能够运用相关科学原理，识别并判断复杂工程问题中的关键技术和技术难点...运用数学、自然科学和船舶与海洋工程学科的基本原理，借助文献研究，综合应用于分析复杂船舶与海洋工程问题。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,船舶与海洋工程研究能力,科研实验创新实践能力,confirmed,船舶海洋工程中的科研实验实践上收到创新实践模块,能够基于科学原理并采用科学方法对工程中的典型结构单元、系统模块或工艺流程，选择研究路线，设计实验方案或抽取计算模型...对实验结果和数值结果进行分析和解释。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,现代工程工具使用能力,数字化工具与软件应用能力,confirmed,通用信息技术、软件和数字工具合并,掌握常用办公软件，掌握一种数字化技术，能够选择与使用恰当的仪器、信息资源、工程工具和专业模拟软件，对复杂工程问题进行分析、计算与设计。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,船舶与海洋工程专业知识应用能力,船舶设计研发能力,confirmed,船舶海洋工程基础、分析与工具使用并入船舶设计研发,以培养船舶与海洋工程领域的创新型人才为目标，课程设置包括船舶流体力学、船舶快速性、船舶结构力学、绿色船舶动力系统、船舶设计基础等专业核心课程。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,工程与社会责任意识,工程伦理安全可持续能力,confirmed,伦理、安全、法律政策和可持续合并,了解船舶与海洋工程领域相关行业标准、法律、法规以及主要的船级社规范...能够科学分析、客观评价复杂问题解决方案和专业工程实践对社会、健康、安全、法律的影响。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,环境与可持续发展意识,工程伦理安全可持续能力,confirmed,伦理、安全、法律政策和可持续合并,知晓和理解环境保护和可持续发展的理念和内涵...能够站在环境保护和可持续发展的角度，思考工程项目实践的可持续性，评价其资源利用效率、污染物处置方案和安全防范措施。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,工程职业道德与规范,工程伦理安全可持续能力,confirmed,伦理、安全、法律政策和可持续合并,理解诚实公正、诚信守则的工程职业道德和规范，并能在工程实践中自觉遵守...理解工程伦理的核心理念，了解船舶与海洋工程专业工程师的职业性质。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,团队合作与沟通能力,团队沟通国际化能力,confirmed,团队沟通、外语和国际化合并,能够与其他学科的成员和谐开展工作，有效沟通，合作共事...能够倾听其他团队成员的意见，并组织、协调和指挥团队开展工作。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,跨文化沟通交流能力,团队沟通国际化能力,confirmed,团队沟通、外语和国际化合并,具备一定的国际视野，了解船舶与海洋工程专业领域国际发展趋势、研究热点...具备一种外国语言的听、说、读、写能力，能够就船舶与海洋专业问题在跨文化背景下进行有效的沟通和交流。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,工程管理与经济决策能力,工程管理经济质量能力,confirmed,工程管理、经济、市场和质量合规合并,掌握工程实践活动中涉及的工程管理学和经济学基本知识，及涉及到的工程管理原理与经济决策方法...能在船舶与海洋工程相关实践活动等多学科环境下，在设计开发解决方案的过程中，正确运用工程管理与经济决策方法。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,终身学习与自主学习能力,科研实验创新实践能力,confirmed,科研、实验、创新实践和学习发展合并,能在社会发展的大背景下，能够正确认识不断探索和终身学习的必要性，具有自主学习和终身学习的意识...了解自主学习的方法，具有自主学习的能力。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,智能船舶技术能力,船舶通导与智能系统能力,confirmed,对象为船舶通导、信息化与智能绿色系统,交叉模块课程包括智能船舶基础-I、智能船舶基础-II 必修课程；专业实践课程包括智能船舶创新实践；专业选修课包括智能船艇设计、智能机舱等。
supply,不含海但有相关专业的院校_上海交通大学（2022）_船舶海洋与建筑工程学院_船舶与海洋.pdf.txt,,,,绿色船舶技术能力,船舶通导与智能系统能力,confirmed,对象为船舶通导、信息化与智能绿色系统,专业核心课程包括绿色船舶动力系统-I/II，体现绿色船舶技术能力培养。
